 7.46833 seconds
         7592052 function calls (7589898 primitive calls) in 7.624 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   866284    0.938    0.000    1.278    0.000 matrix_view.py:80(get)
   135168    0.682    0.000    2.179    0.000 matrix.py:293(multiply_column)
   115658    0.664    0.000    1.176    0.000 matrix.py:124(__init__)
  1408392    0.550    0.000    0.550    0.000 matrix_view.py:34(size)
1468140/1467974    0.533    0.000    0.533    0.000 {built-in method builtins.len}
    27004    0.511    0.000    1.818    0.000 matrix_view.py:45(set)
   270912    0.510    0.000    0.872    0.000 matrix.py:98(column_add)
   433441    0.468    0.000    0.636    0.000 matrix_view.py:72(set_element)
   885027    0.358    0.000    0.358    0.000 matrix.py:183(num_rows)
    26992    0.320    0.000    1.306    0.000 matrix_view.py:37(to_matrix)
   270912    0.263    0.000    0.405    0.000 matrix.py:84(column_scale)
    54471    0.183    0.000    0.271    0.000 matrix_view.py:6(__init__)
   270912    0.169    0.000    0.169    0.000 matrix.py:122(<listcomp>)
   270912    0.143    0.000    0.143    0.000 matrix.py:96(<listcomp>)
   329686    0.135    0.000    0.135    0.000 matrix.py:193(num_cols)
        1    0.121    0.121    7.438    7.438 svd.py:32(compute_svd_bidiagonal)
   115423    0.120    0.000    1.294    0.000 matrix.py:45(from_cols)
    27200    0.092    0.000    2.706    0.000 matrix.py:320(multiply)
    27200    0.088    0.000    2.267    0.000 matrix.py:341(<listcomp>)
    33740    0.076    0.000    0.316    0.000 givens.py:9(__init__)
    13496    0.074    0.000    4.227    0.000 givens.py:24(multiply_left)
    13496    0.073    0.000    2.634    0.000 givens.py:41(multiply_right)
   162406    0.070    0.000    0.070    0.000 matrix.py:273(all_cols)
    44645    0.069    0.000    0.106    0.000 matrix.py:247(get)
    27458    0.051    0.000    0.202    0.000 matrix_view.py:29(to_end)
    27005    0.048    0.000    0.523    0.000 matrix.py:162(copy)
    27005    0.032    0.000    0.032    0.000 matrix.py:170(<listcomp>)
    26992    0.031    0.000    0.031    0.000 matrix_view.py:39(<listcomp>)
    27004    0.028    0.000    0.227    0.000 matrix_view.py:21(whole)
    20244    0.024    0.000    0.212    0.000 givens.py:21(transpose)
    33799    0.016    0.000    0.016    0.000 {built-in method math.sqrt}
    27471    0.014    0.000    0.014    0.000 matrix.py:173(size)
      115    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
      601    0.007    0.000    0.007    0.000 {built-in method posix.stat}
      188    0.006    0.000    0.006    0.000 {built-in method builtins.compile}
      115    0.006    0.000    0.006    0.000 {built-in method io.open_code}
    14475    0.006    0.000    0.006    0.000 {built-in method builtins.abs}
  434/426    0.005    0.000    0.030    0.000 {built-in method builtins.__build_class__}
     6765    0.004    0.000    0.004    0.000 {built-in method builtins.max}
     9976    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
      115    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
      286    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     2629    0.003    0.000    0.008    0.000 typing.py:762(__setattr__)
     2629    0.003    0.000    0.005    0.000 typing.py:646(_is_dunder)
        5    0.003    0.001    0.004    0.001 {built-in method _imp.create_dynamic}
      352    0.003    0.000    0.013    0.000 typing.py:659(__init__)
        1    0.003    0.003    0.003    0.003 {built-in method _posixsubprocess.fork_exec}
     1541    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
    78/24    0.002    0.000    0.008    0.000 sre_parse.py:493(_parse)
      648    0.002    0.000    0.006    0.000 typing.py:120(_type_check)
     1541    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      221    0.002    0.000    0.007    0.000 matrix_view.py:54(scale_add)
        1    0.002    0.002    0.002    0.002 {method 'read' of '_io.TextIOWrapper' objects}
      115    0.002    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      115    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:969(get_data)
  921/843    0.002    0.000    0.026    0.000 typing.py:255(inner)
     2312    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     2949    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {built-in method posix.read}
      208    0.001    0.000    0.025    0.000 householder.py:29(multiply_left_column)
     3412    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     3314    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    135/1    0.001    0.000    7.624    7.624 {built-in method builtins.exec}
     1401    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
     2258    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
   151/21    0.001    0.000    0.003    0.000 sre_compile.py:71(_compile)
      230    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      235    0.001    0.000    0.004    0.000 matrix.py:25(from_rows)
      141    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      368    0.001    0.000    0.002    0.000 typing.py:172(_collect_type_vars)
  218/140    0.001    0.000    0.012    0.000 typing.py:347(__getitem__)
  871/730    0.001    0.000    0.002    0.000 typing.py:720(__hash__)
      126    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
       16    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
    143/2    0.001    0.000    0.155    0.077 <frozen importlib._bootstrap>:986(_find_and_load)
1781/1397    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     1014    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
       19    0.001    0.000    0.002    0.000 __init__.py:313(namedtuple)
     1606    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      135    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     1590    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
      140    0.001    0.000    0.002    0.000 typing.py:219(_remove_dups_flatten)
      134    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x907780}
